text,vader,roberta
did you hear about the helicopter found on mars,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12108571 0.8507521  0.02816222]
if you want a physical body like charlie eat lean white meat and raw vegetables and do heaps of cardio,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.4215}",[0.02425364 0.756923   0.21882333]
what if hes just a grower not a shower,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.24987622 0.71232426 0.03779951]
penguinz did you watch the wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05020413 0.9115908  0.03820502]
help charlie ive been jelqed,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",[0.39607924 0.5707272  0.03319352]
i feel attacked,"{'neg': 0.75, 'neu': 0.25, 'pos': 0.0, 'compound': -0.4588}",[0.92238206 0.07062083 0.00699705]
did you watch the video of the dude getting pansted by a mustang ina street drift off before everyone ran up to zoom in on his ass,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.5423}",[0.701482   0.2810855  0.01743251]
you hear about the cheese wheel race in the uk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10958627 0.8517232  0.03869064]
deadpool  trailer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.08177976 0.80080724 0.11741301]
did you watch the dead pool trailer,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}",[0.11850733 0.84486747 0.03662517]
see the deadpool trailer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.04831502 0.8739304  0.07775453]
do you think black myth wukong is game of the year contender,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.128}",[0.0458095  0.9056752  0.04851532]
why is he getting adds when subbed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5537453  0.4300935  0.01616113]
will there be any other songs like skynut,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",[0.03211654 0.9174902  0.05039332]
did you see what disney created for vr they made a floor that keeps you walking in place,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}",[0.04246642 0.83155394 0.12597965]
rigging nfl for them swiftards but its as realistic as wwe im not surprised,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.2498}",[0.16574232 0.6798046  0.15445311]
did you plan on doing a moist meter for lies of p,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",[0.17659214 0.7978214  0.02558641]
deadpool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.22613917 0.6248821  0.14897871]
how is charlie so hot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03178288 0.15189382 0.81632334]
penguinz did you watch the wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05020413 0.9115908  0.03820502]
grower not a shower,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.26801902 0.651804   0.08017699]
they played well,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.5423}",[0.00564221 0.10620835 0.88814944]
can we see the trailer for this anime,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.02438692 0.9121931  0.06341998]
yeah it did and im loving it both sides needed to have a chance,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7964}",[0.00384938 0.03283856 0.96331203]
you read about guy who was released and stabbed  people days later,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.4404}",[0.72449374 0.2669856  0.00852069]
do you wear polarized sunglasses to see crocs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.13457268 0.8191647  0.04626253]
lol,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",[0.10777361 0.5321322  0.36009416]
one piece update,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06650763 0.8343208  0.0991716 ]
the water cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3522148  0.5673801  0.08040516]
did you see the stuff about ice spice at the super bowl,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.5994}",[0.0892587  0.86535424 0.0453871 ]
lies,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}",[0.43088415 0.4347498  0.13436607]
deadpool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.22613917 0.6248821  0.14897871]
oof,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.4973551  0.45469213 0.04795271]
damn,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}",[0.69406646 0.24222033 0.06371322]
o that guy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.45035943 0.4812907  0.06834994]
what up moist critical,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}",[0.24621019 0.69419533 0.05959444]
recommend any jelqing techniques,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",[0.07790535 0.871036   0.05105864]
lies of p speed run when,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",[0.09298483 0.84462214 0.06239296]
yikes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.7049511  0.25323123 0.04181768]
it was cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3512596  0.5554382  0.09330226]
hello penguinz how is your night going,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.01102179 0.5571413  0.4318369 ]
deadpool guys,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10911799 0.74827933 0.14260271]
brother had that peter griffin pecker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06596973 0.8023339  0.1316964 ]
penguinz did you watch the wwe press conference,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05020413 0.9115908  0.03820502]
please someone with money ask him about the vaush folder leak,"{'neg': 0.175, 'neu': 0.657, 'pos': 0.168, 'compound': -0.0258}",[0.2366075  0.72208905 0.04130344]
lol,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",[0.10777361 0.5321322  0.36009416]
snoll pp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.19071588 0.64249194 0.16679214]
he was in the pool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.094582   0.8062479  0.09917007]
is it weird that i watched the super bowl and like it just feel like watching white static its weird cause like i enjoy a little footy,"{'neg': 0.097, 'neu': 0.486, 'pos': 0.417, 'compound': 0.9042}",[0.21305956 0.4728384  0.31410202]
did u see drakes leaks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10036987 0.8647666  0.03486354]
did you plan on doing a moist meter for lies of p,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",[0.17659214 0.7978214  0.02558641]
you see that andrew callaghan got arrested in the new vid,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}",[0.30168337 0.6759573  0.02235934]
have you considered building a bowling alley lane in the warehouse,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03874792 0.92049    0.04076206]
what are your opinions on rise of the ronin it looks too good to be true to me,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.6908}",[0.04739083 0.39376745 0.55884165]
did you see what disney created for vr they made a floor that keeps you walking in place,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}",[0.04246642 0.83155394 0.12597965]
above avergae thank you very much,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",[0.00388228 0.07342183 0.9226958 ]
wdym it was massive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12624793 0.55828565 0.3154664 ]
will u play more helldivers,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",[0.05755405 0.8710529  0.07139299]
the curse,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",[0.4046977  0.5349442  0.06035815]
naw he had that drake dong,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.0683973 0.8061027 0.1255   ]
epic,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.35576048 0.5049608  0.13927871]
he was in the pool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.094582   0.8062479  0.09917007]
moving screen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.16793147 0.71375793 0.11831059]
i know exactly the pose,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.17206892 0.7042139  0.12371714]
have you ever smoked the zaza,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.14923042 0.80602795 0.04474164]
the goat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.15809041 0.5391177  0.3027919 ]
my heart is so warm,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.3593}",[0.00221892 0.02026681 0.97751427]
w,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[0.25118878 0.5385145  0.21029675]
letsgo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.1126317 0.5619269 0.3254414]
nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",[0.05261007 0.30867028 0.6387197 ]
omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23960617 0.59827083 0.16212298]
good job,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",[0.01974045 0.11310147 0.86715806]
shutup lol,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",[0.44065753 0.42075625 0.13858618]
good d,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",[0.04544572 0.3313529  0.6232014 ]
beast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5062011  0.393827   0.09997192]
hahahahhahahahaha,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.15729411 0.4951394  0.34756646]
yikes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.7049511  0.25323123 0.04181768]
french wall happs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.13293374 0.80690104 0.06016514]
lool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2322284  0.47146356 0.2963081 ]
youre not that guy pal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.31373048 0.6342583  0.05201123]
oof,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.4973551  0.45469213 0.04795271]
bruh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20749013 0.58758485 0.20492503]
ez clap,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",[0.06350313 0.6620426  0.2744543 ]
dude we need to see you play some ball fr fr,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",[0.05036868 0.6611036  0.28852773]
hell yeah,"{'neg': 0.676, 'neu': 0.0, 'pos': 0.324, 'compound': -0.5267}",[0.08266621 0.36445203 0.5528817 ]
ez clap,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",[0.06350313 0.6620426  0.2744543 ]
gottem kappa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.21707325 0.64939654 0.13353017]
omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23960617 0.59827083 0.16212298]
lmao,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",[0.25513867 0.443014   0.30184737]
good evening lud,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",[0.01519355 0.26843795 0.7163685 ]
you went to the grammys,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.08128759 0.7416659  0.17704648]
they call me brick cause im bricked,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.4241557  0.5390243  0.03681996]
lmaoo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.28583393 0.44981113 0.26435488]
how tall are u,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06933555 0.83240634 0.09825809]
i would not let you in the paint,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.6171262  0.3613521  0.02152167]
rare w lud moment,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.07969788 0.8113968  0.10890527]
icant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3150507  0.5536767  0.13127257]
did you have a gun,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.34}",[0.30213097 0.65045315 0.04741593]
lmao,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",[0.25513867 0.443014   0.30184737]
lol,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",[0.10777361 0.5321322  0.36009416]
wotttt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2866818  0.57565796 0.13766024]
oof,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.4973551  0.45469213 0.04795271]
monkaw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.21842952 0.5852047  0.19636574]
sounds like fun,"{'neg': 0.0, 'neu': 0.147, 'pos': 0.853, 'compound': 0.7003}",[0.00818961 0.06850217 0.92330825]
bro was blocking celebs,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.3818}",[0.43601617 0.53912723 0.02485665]
huhh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.26091245 0.5805524  0.1585351 ]
ayo what,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3257046 0.5578584 0.116437 ]
what lol,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",[0.20287465 0.5917283  0.20539702]
omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23960617 0.59827083 0.16212298]
lookup,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.1244669  0.55693614 0.31859702]
poor qt,"{'neg': 0.525, 'neu': 0.0, 'pos': 0.475, 'compound': -0.0772}",[0.6461036  0.32395676 0.02993955]
pepehands,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.17441493 0.6721486  0.15343653]
have you seen the chuggaaconroy drama,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10087465 0.864423   0.0347024 ]
pain,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",[0.41976857 0.5110565  0.06917489]
rather be wet than be shot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5730506  0.40289477 0.02405457]
bg again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.26698    0.6007308  0.13228922]
omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23960617 0.59827083 0.16212298]
lmao,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",[0.25513867 0.443014   0.30184737]
arent u drenched at this point,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3989636  0.5422732  0.05876321]
wetwig,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.225831   0.5935139  0.18065509]
feelsrainman,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.24834141 0.66922176 0.08243684]
make up is fiiiiiine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.06699947 0.38326058 0.54973996]
lud can box me out,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5775044  0.37542424 0.04707137]
lol,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",[0.10777361 0.5321322  0.36009416]
w,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[0.25118878 0.5385145  0.21029675]
the only time ive ever cut a line is when two people multiplied to like  people through talk to someone you know strat,"{'neg': 0.085, 'neu': 0.813, 'pos': 0.102, 'compound': 0.1027}",[0.4321797  0.5142242  0.05359615]
shlatt wouldnt be allowed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.77407694 0.21449673 0.01142631]
were ur socks wet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2021983 0.7322948 0.0655069]
people cutting are cringe,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.128}",[0.9433778  0.05243333 0.00418887]
batchest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.17684402 0.6380809  0.18507504]
man thats lame even for america,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.4215}",[0.94673103 0.04860243 0.00466651]
dawg why would you ask a streamer that,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5731802  0.41169587 0.01512394]
batchest cryptoooooo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.19797629 0.7025024  0.09952134]
wow,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",[0.08722481 0.54727507 0.36550012]
lol good story telling funny,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.8225}",[0.00500144 0.06034627 0.93465227]
lookup but rain,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.36190376 0.5804387  0.05765759]
poggies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.5086656  0.39044175 0.10089264]
sweets,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",[0.21385945 0.58590406 0.20023644]
drenchedwig,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.14444381 0.68569887 0.16985732]
wsg,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.28377852 0.54310125 0.17312026]
batchest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.17684402 0.6380809  0.18507504]
qt is such a goat,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",[0.9321047  0.05942956 0.00846565]
is everyone wet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.16365562 0.7841485  0.05219581]
goated arena,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.19775799 0.73250955 0.06973243]
ad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3065162  0.47946104 0.21402276]
bg,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20465162 0.56003433 0.23531407]
moistwig,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2206874  0.6114385  0.16787408]
get a swipe bidet today  httpsswipelive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.03502383 0.786607   0.17836912]
goated arena,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.19775799 0.73250955 0.06973243]
batchest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.17684402 0.6380809  0.18507504]
gigachad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.21085447 0.5394721  0.24967341]
qt so goated,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",[0.79614085 0.18063127 0.02322788]
waffle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.22579904 0.63841015 0.13579078]
the crypto name still doesnt sound right,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.91539896 0.0802842  0.00431684]
richhhh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.24165174 0.570787   0.18756129]
oh i thought those were nosebleeds,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.4539307  0.50480855 0.04126079]
love when he does the youtube hands,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",[0.00376525 0.05703141 0.9392033 ]
lolll,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2693098  0.45429176 0.27639842]
binoculars,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12598486 0.78563476 0.08838043]
thats awesome,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",[0.00278784 0.02599441 0.97121775]
if shlatt was there no one wouldve cut,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.5106}",[0.21909012 0.7392732  0.04163675]
sweets,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",[0.21385945 0.58590406 0.20023644]
lulw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.25957343 0.5142091  0.22621746]
lmao better seats than the artists,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.7783}",[0.12329175 0.49984884 0.37685943]
opera glasses ez,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",[0.13975239 0.72076523 0.13948235]
omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23960617 0.59827083 0.16212298]
omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.23960617 0.59827083 0.16212298]
lmao,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",[0.25513867 0.443014   0.30184737]
will neff joined otk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.08624356 0.8460261  0.06773037]
lool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.2322284  0.47146356 0.2963081 ]
we call it the crypt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09190399 0.8275194  0.08057654]
spoilers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.6327518  0.34382972 0.02341853]
oook bro feelsweirdman,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.3064475  0.63739425 0.05615821]
good shit qt very fancy,"{'neg': 0.319, 'neu': 0.177, 'pos': 0.504, 'compound': 0.2732}",[0.17506434 0.34379286 0.48114285]
lol,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",[0.10777361 0.5321322  0.36009416]
at the opera booths,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.05599187 0.8745881  0.06942005]
so much chat about kilin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.10093591 0.8222094  0.07685464]
must be nice,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",[0.01576829 0.10927122 0.8749604 ]
e,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[0.2385882  0.48602417 0.27538764]
not the opera glasses omegalul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.38318822 0.5786618  0.03815001]
bro was watching a play in the victorian era lmao,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.743}",[0.08741324 0.78415155 0.12843513]
waffle waffle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.09991953 0.7292535  0.170827  ]
join the official ludwig discord  httpsdiscordggludwig,"{'neg': 0.303, 'neu': 0.449, 'pos': 0.247, 'compound': -0.128}",[0.0213221  0.8444048  0.13427304]
thats crazy,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.34}",[0.4525034  0.40460515 0.14289138]
lulw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.25957343 0.5142091  0.22621746]
overlooking the poors,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.48634833 0.47642267 0.03722904]
gigitty gigitty gigitty gigitty,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.20390894 0.63836354 0.15772752]
grrrr,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.27572832 0.5513501  0.17292155]
boygenius on top,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}",[0.02133199 0.41938582 0.55928224]
d,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[0.25822246 0.48346505 0.2583125 ]
hi yt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.16618116 0.65027386 0.183545  ]
peepogiggles,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.12969086 0.6200856  0.25022352]
hi yt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.16618116 0.65027386 0.183545  ]
was,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.19467112 0.61165655 0.19367237]
what time about will baldurs gate be released to all,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.02020015 0.932785   0.04701479]
omg,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[0.22924958 0.52865034 0.24210003]
